,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.01907130254600567
1,01,premotor,153,207,0.005494133333503954
2,01,premotor,153,45,0.003211057242988754
3,01,premotor,153,99,0.019434054171934806
4,01,premotor,207,153,-0.009436202685314116
5,01,premotor,207,207,-0.008782969816388264
6,01,premotor,207,45,0.028614845721590686
7,01,premotor,207,99,0.0046741750477001616
8,01,premotor,45,153,0.003031332921403184
9,01,premotor,45,207,-0.007963950257517505
10,01,premotor,45,45,-0.005206693395460793
11,01,premotor,45,99,-0.0033510844602748936
12,01,premotor,99,153,0.046522163137520105
13,01,premotor,99,207,-0.003999122080730059
14,01,premotor,99,45,-0.025763261891929186
15,01,premotor,99,99,-0.028046193027058297
16,01,motor,153,153,-0.024666736832571867
17,01,motor,153,207,0.007549650587922722
18,01,motor,153,45,0.03325651223062887
19,01,motor,153,99,-0.028601461140146535
20,01,motor,207,153,0.020211724070209824
21,01,motor,207,207,0.042809475441271616
22,01,motor,207,45,-0.06871248252856035
23,01,motor,207,99,0.0049778071534650695
24,01,motor,45,153,0.006880564699060615
25,01,motor,45,207,-0.03674052024870729
26,01,motor,45,45,0.021841196627992762
27,01,motor,45,99,0.024907131243556334
28,01,motor,99,153,-0.014474033013209138
29,01,motor,99,207,-0.02793938336987532
30,01,motor,99,45,0.019650371946824036
31,01,motor,99,99,0.015753316859249328
32,01,v1,153,153,0.014582292382110265
33,01,v1,153,207,-0.009757516416342132
34,01,v1,153,45,-0.029013953466293412
35,01,v1,153,99,0.039200436902873274
36,01,v1,207,153,-0.022023709733990877
37,01,v1,207,207,0.00776871454080081
38,01,v1,207,45,0.013609101950744953
39,01,v1,207,99,-0.024075469842533108
40,01,v1,45,153,-0.007538299555809275
41,01,v1,45,207,0.0019187839776936104
42,01,v1,45,45,0.037117542048465145
43,01,v1,45,99,-0.032441198118434135
44,01,v1,99,153,-0.026765263170445273
45,01,v1,99,207,0.018590491581093355
46,01,v1,99,45,-0.01919746061024378
47,01,v1,99,99,0.03587810222119385
48,01,sup_parietal,153,153,-0.016858067752936655
49,01,sup_parietal,153,207,0.10289376585971749
50,01,sup_parietal,153,45,0.0013404184744184693
51,01,sup_parietal,153,99,-0.06489135637699854
52,01,sup_parietal,207,153,-0.016612015317008337
53,01,sup_parietal,207,207,0.0026655162003254816
54,01,sup_parietal,207,45,0.05266510522035556
55,01,sup_parietal,207,99,-0.02408466550546219
56,01,sup_parietal,45,153,0.020542296690649213
57,01,sup_parietal,45,207,-0.010972321198373351
58,01,sup_parietal,45,45,-0.0372944076067742
59,01,sup_parietal,45,99,0.00032164319118942186
60,01,sup_parietal,99,153,0.012824461216282734
61,01,sup_parietal,99,207,-0.13797612420526226
62,01,sup_parietal,99,45,0.011009103479911346
63,01,sup_parietal,99,99,0.10916276355612729
64,01,inf_parietal,153,153,-0.021003200757618818
65,01,inf_parietal,153,207,0.03151539759417442
66,01,inf_parietal,153,45,0.02031361174506638
67,01,inf_parietal,153,99,-0.017614001759857063
68,01,inf_parietal,207,153,-0.005362370059201288
69,01,inf_parietal,207,207,0.036348129461742276
70,01,inf_parietal,207,45,-0.016156718405455767
71,01,inf_parietal,207,99,0.004282761173365557
72,01,inf_parietal,45,153,-0.012672340748327085
73,01,inf_parietal,45,207,-0.020250578226450766
74,01,inf_parietal,45,45,-0.021591973691920684
75,01,inf_parietal,45,99,0.058216027813804555
76,01,inf_parietal,99,153,0.04600770842646491
77,01,inf_parietal,99,207,-0.060601693960845304
78,01,inf_parietal,99,45,0.01135771086166997
79,01,inf_parietal,99,99,-0.03846226030458982
80,01,v5,153,153,0.05584163076508536
81,01,v5,153,207,-0.006565074673787755
82,01,v5,153,45,-0.155649530176901
83,01,v5,153,99,0.15648934634712064
84,01,v5,207,153,-0.0781087973928011
85,01,v5,207,207,-0.08323806546486201
86,01,v5,207,45,0.11310911480786064
87,01,v5,207,99,-0.015480410778870766
88,01,v5,45,153,0.048311726106744474
89,01,v5,45,207,0.021140090655173853
90,01,v5,45,45,0.013469621014097113
91,01,v5,45,99,-0.09960044320281773
92,01,v5,99,153,-0.049384192591770355
93,01,v5,99,207,0.13790403431113843
94,01,v5,99,45,-0.012138996805148673
95,01,v5,99,99,-0.06756261582497727
96,02,premotor,153,153,-0.008040242853998927
97,02,premotor,153,207,0.042984869020921856
98,02,premotor,153,45,-0.0020870751354440005
99,02,premotor,153,99,-0.02866410798545399
100,02,premotor,207,153,-0.061074664953943175
101,02,premotor,207,207,-0.041496671118516834
102,02,premotor,207,45,0.027959892905223473
103,02,premotor,207,99,0.0733833763428693
104,02,premotor,45,153,0.022401696643636455
105,02,premotor,45,207,-0.06470163562386633
106,02,premotor,45,45,0.038950205142812916
107,02,premotor,45,99,0.005243505035155267
108,02,premotor,99,153,0.04412794492762889
109,02,premotor,99,207,0.06040151676885011
110,02,premotor,99,45,-0.05937054921340015
111,02,premotor,99,99,-0.04726054761261896
112,02,motor,153,153,-0.0030610841620521932
113,02,motor,153,207,0.04934782406672058
114,02,motor,153,45,-0.04966643520342906
115,02,motor,153,99,0.015586454212964182
116,02,motor,207,153,-0.015296838127991812
117,02,motor,207,207,-0.038499186137662726
118,02,motor,207,45,0.017613764055796594
119,02,motor,207,99,0.02659377881567165
120,02,motor,45,153,-0.028472218621145087
121,02,motor,45,207,-0.054794689667897016
122,02,motor,45,45,0.08667050931756495
123,02,motor,45,99,-0.006411224103369747
124,02,motor,99,153,0.06408034772830801
125,02,motor,99,207,0.05033629577472576
126,02,motor,99,45,-0.04279753761443149
127,02,motor,99,99,-0.05425119561021293
128,02,v1,153,153,0.0556395990096958
129,02,v1,153,207,0.02466591860037306
130,02,v1,153,45,-0.055706853555523426
131,02,v1,153,99,-0.02487982504900129
132,02,v1,207,153,-0.05748634220247743
133,02,v1,207,207,0.03276994474645757
134,02,v1,207,45,0.04767186381837829
135,02,v1,207,99,-0.029526590141829397
136,02,v1,45,153,-0.004433562190276691
137,02,v1,45,207,-0.07230975187795885
138,02,v1,45,45,0.03539495808785069
139,02,v1,45,99,0.04635637502540349
140,02,v1,99,153,0.024978524066289247
141,02,v1,99,207,0.0061762434713722855
142,02,v1,99,45,-0.024026595140137216
143,02,v1,99,99,-0.006536404476335337
144,02,sup_parietal,153,153,-0.06501957503252845
145,02,sup_parietal,153,207,0.055760506840670646
146,02,sup_parietal,153,45,-0.036041096239899775
147,02,sup_parietal,153,99,0.007810832596588206
148,02,sup_parietal,207,153,0.008610146500778154
149,02,sup_parietal,207,207,-0.024689458194947812
150,02,sup_parietal,207,45,0.054594731963667154
151,02,sup_parietal,207,99,-0.008471937275678328
152,02,sup_parietal,45,153,0.052288649045685955
153,02,sup_parietal,45,207,-0.05777042225309248
154,02,sup_parietal,45,45,0.005700057054246588
155,02,sup_parietal,45,99,0.005288934242435667
156,02,sup_parietal,99,153,-0.04102965524538852
157,02,sup_parietal,99,207,-0.010310567910032936
158,02,sup_parietal,99,45,0.006381331258347554
159,02,sup_parietal,99,99,0.024782742437722265
160,02,inf_parietal,153,153,0.01122734364085335
161,02,inf_parietal,153,207,0.02079714237930018
162,02,inf_parietal,153,45,0.013427945997069389
163,02,inf_parietal,153,99,-0.047902069853288785
164,02,inf_parietal,207,153,-0.0867367451592978
165,02,inf_parietal,207,207,-0.03395185052706665
166,02,inf_parietal,207,45,0.03800017756461834
167,02,inf_parietal,207,99,0.0979297668453779
168,02,inf_parietal,45,153,0.04114521559599521
169,02,inf_parietal,45,207,-0.005617413777949182
170,02,inf_parietal,45,45,0.014346380687929065
171,02,inf_parietal,45,99,-0.07492561277116055
172,02,inf_parietal,99,153,0.037423999428936594
173,02,inf_parietal,99,207,0.015642164227229756
174,02,inf_parietal,99,45,-0.06998642686259055
175,02,inf_parietal,99,99,0.03452960572982752
176,02,v5,153,153,0.03138731678170982
177,02,v5,153,207,0.07593183407218754
178,02,v5,153,45,0.04669514001706549
179,02,v5,153,99,-0.12399925438889459
180,02,v5,207,153,-0.10894043769736009
181,02,v5,207,207,0.0943050726899144
182,02,v5,207,45,0.04093293267233248
183,02,v5,207,99,0.04030053706847045
184,02,v5,45,153,-0.001929775944588312
185,02,v5,45,207,-0.09357111992700777
186,02,v5,45,45,0.061074938715861365
187,02,v5,45,99,-0.03843231924096016
188,02,v5,99,153,0.12495375975205081
189,02,v5,99,207,-0.12421908772766711
190,02,v5,99,45,-0.09138360122438977
191,02,v5,99,99,0.0936542955189669
192,03,premotor,153,153,-0.000960027954044645
193,03,premotor,153,207,0.03151919156376194
194,03,premotor,153,45,-0.0298643673495724
195,03,premotor,153,99,-0.0034276836172659163
196,03,premotor,207,153,-0.024894842336060888
197,03,premotor,207,207,0.02087001666346961
198,03,premotor,207,45,0.028151490075403504
199,03,premotor,207,99,-0.026678873242153154
200,03,premotor,45,153,-0.006738338263994195
201,03,premotor,45,207,-0.05752185648763754
202,03,premotor,45,45,0.020108028402436157
203,03,premotor,45,99,0.05650956348945786
204,03,premotor,99,153,0.031424872539167495
205,03,premotor,99,207,-0.0011582967679780783
206,03,premotor,99,45,-0.01583243925842564
207,03,premotor,99,99,-0.018731706291038257
208,03,motor,153,153,-0.12008553910532158
209,03,motor,153,207,0.11314107928718722
210,03,motor,153,45,0.059888902419228326
211,03,motor,153,99,-0.060367491590871576
212,03,motor,207,153,0.024120572383618488
213,03,motor,207,207,-0.0630780898230524
214,03,motor,207,45,-0.002657747778789691
215,03,motor,207,99,0.04990232707814196
216,03,motor,45,153,0.04584413132855386
217,03,motor,45,207,-0.0699718719621554
218,03,motor,45,45,-0.050518648850097415
219,03,motor,45,99,0.09726409409604363
220,03,motor,99,153,0.04324622989328686
221,03,motor,99,207,0.008903946985902725
222,03,motor,99,45,-0.018042999746695022
223,03,motor,99,99,-0.05359363267015977
